contributing authors, John Anderson ... [et al.] ; editors, Ryszard S. Michalski, Jaime G. Carbonell, Tom M. Mitchell.		Machine learning :·an artificial intelligence approach /		3540132988		Tioga Pub. Co.,		TP18·M621		c1983.		西文图书		
editor/workshop chairs, Bruce Porter and Raymond Mooney ; sponsors, Office of Naval Research, Artificial Intelligence and Robotics Program ... [et al.].		Machine learning :·proceedings of the seventh international conference (1990), University of Texas, Austin, Texas, June 21-23, 1990 /		1558601414		Morgan Kaufmann Publishers,		TP18-53·M149.2/1990		c1990.		西文图书		
(美) Tom M. Mitchell著		机器学习		7-111-10993-7		机械工业出版社		TP181 2		2003		中文图书		
(美) Ryszard S. Michalski, Ivan Bratko, Miroslav Kubat等著		机器学习与数据挖掘		7-5053-9224-7		电子工业出版社		TP181 3		2004		中文图书		
Tapio Elomaa, Heikki Mannila, Hannu Toivonen (eds.).		Machine learning :·ECML 2002·Lecture notes in computer science,·Lecture notes in computer science ;·ECML 2002 : 13th European Conference on Machine Learning, Helsinki, Finland, August 19-23, 2002 : proceedings /		3540440364 (softcover : acid-free paper)		Springer,		TP18-53·M149.3/2002		c2002.		西文图书		
Jean-François Boulicaut ... [et al.] (eds.).		Machine learning :·ECML 2004·Lecture notes in computer science,·Lecture notes in computer science ;·ECML 2004 : 15th European Conference on Machine Learning, Pisa, Italy, September 20-24, 2004 : proceedings /		3540231056 (pbk.)		Springer,		TP18-53·M149.3/2004		c2004.		西文图书		
Luc De Raedt, Peter Flach (eds.).		Machine learning :·ECML 2001·Lecture notes in computer science ;·Lecture notes in computer science ;·ECML 2001 : 12th European Conference on Machine Learning, Freiburg, Germany, September 5-7, 2001 : proceedings /		3540425365 (softcover : alk. paper)		Springer,		TP18-53·M149.3/2001		c2001.		西文图书		
Petra Perner (ed.).		Machine learning and data mining in pattern recognition :·MLDM 2001·Lecture notes in computer science ;·Lecture notes in computer science ;·second international workshop, MLDM 2001, Leipzig, Germany, July 25-27, 2001 : proceedings /		3540423591 (softcover)		Springer,		TP181-53·M685/2001		c2001.		西文图书		
Georgios Paliouras, Vangelis Karkaletsis, Constantine D. Spyropoulos (eds.).		Machine learning and its applications :·Lecture notes in computer science ;·Lecture notes in computer science ;·advanced lectures /		3540424903 (pbk. : alk. paper)		Springer,		TP181·M149		c2001.		西文图书		
Samy Bengio, Hervé Bourlard (eds.).		Machine learning for multimodal interaction :·MLMI 2004·Lecture notes in computer science,·first international workshop, MLMI 2004, Martigny, Switzerland, June 21-23, 2004 : revised selected papers /		354024509X		Springer,		TP181-53·M149.2/2004		c2005.		西文图书		
Petra Perner, Atsushi Imiya (eds.).		Machine learning and data mining in pattern recognition :·MLDM 2005·Lecture notes in computer science,·Lecture notes in computer science ;·4th international conference, MLDM 2005, Leipzig, Germany, July 9-11, 2005 : proceedings /		9783540269236		Springer,		TP181-53·M685.2/2005		c2005.		西文图书		
João Gama ... [et al.] (eds.).		Machine learning :·ECML 2005·Lecture notes in computer science,·Lecture notes in computer science ;·ECML 2005 : 16th European Conference on Machine Learning, Porto, Portugal, October 3-7, 2005 : proceedings /		3540292438 (pbk.)		Springer,		TP18-53·M149.3/2005		c2005.		西文图书		
editors, Du Zhang, Jeffrey J.P. Tsai.		Machine learning applications in software engineering /·Series on software engineering and knowledge engineering ;		9812560947		World Scientific,		TP311.5·M149		c2005.		西文图书		
Joaquin Quiñonero-Candela ... [et al.] (eds.).		Machine learning challenges :·MLCW 2005·Lecture notes in artificial intelligence,·Lecture notes in computer science ;·evaluating predictive uncertainty visual object classification and recognizing textual entailment : First PASCAL Machine Learning Challenges Workshop, MLCW 2005, Southampton, UK, April 11-13, 2005 : revised selected papers /		3540334270 (pbk.)		Springer,		TP181-53·P278/2005		c2006.		西文图书		
Steve Renals, Samy Bengio (eds.).		Machine learning for multimodal interaction :·MLMI 2005·Lecture notes in computer science,·second international workshop, MLMI 2005, Edinburgh, UK, July 11-13, 2005 : revised selected papers /		3540325492 (pbk.)		Springer,		TP181-53·M149.2/2005		c2006.		西文图书		
Johannes Fürnkranz, Tobias Scheffer, Myra Spiliopoulou (eds.).		Machine learning :·ECML 2006·Lecture notes in computer science.·Lecture notes in computer science ;·ECML 2006 : 17th European Conference on Machine Learning, Berlin, German, September 18-22, 2006 : proceedings/		354045375X (pbk.)		Springer,		TP18-53·M149.3/2006		c2006.		西文图书		
Steve Renals, Samy Bengio, Jonathan G. Fiscus (eds.).		Machine learning for multimodal interaction :·MLMI 2006·Lecture notes in computer science,·third international workshop, MLMI 2006, Bethesda, MD, USA, May 1-4, 2006 : revised selected papers /		3540692673 (pbk.)		Springer,		TP181-53·M149.2/2006		c2006.		西文图书		
Tom M. Mitchell著.		Machine Learning =·机器学习·HZ books·机器学习 /		7111115023		China Machine Press ;		TP181·M681		2006.		西文图书		
Petra Perner (ed.).		Machine learning and data mining in pattern recognition :·MLDM 2007·Lecture notes in computer science,·Lecture notes in computer science ;·LNCS sublibrary.·5th international conference, MLDM 2007, Leipzig, Germany, July 18-20, 2007 : proceedings /		3540734988 (softcover : alk. paper)		Springer,		TP181-53·M685.2/2007		c2007.		西文图书		
Joost N. Kok ... [et al.] (eds.).		Machine learning :·ECML 2007·Lecture notes in computer science,·Lecture notes in computer science ;·LNCS sublibrary.·ECML 2007 : 18th European Conference on Machine Learning, Warsaw, Poland, September 17-21, 2007 : proceedings /		3540749578 (pbk.)		Springer,		TP18-53·M149.3/2007		c2007.		西文图书		
